Radon,Rn,86,136,222,Alpha,345600.0000000,
Radium,Ra,88,138,226,Alpha,51151392000.0000000,
Uranium,U,92,143,235,Alpha,22500000000000000.0000000,
Uranium,U,92,146,238,Alpha,142227360.0000000,
Calcium,Ca,20,21,41,Beta+,3153600000000.0000000,
Carbon,C,6,8,14,Beta-,180701280000.0000000,
Azote,N,7,7,14,STABLE,0.0000000,
Potassium,K,14,26,40,Beta-,39400000000000000.0000000,
Thorium,Th,90,144,234,Beta-,2073600.0000000,
Protactinium,Pa,91,143,234,Beta-,70.0000000,
Thorium,Th,90,140,230,Alpha,2522880000000.0000000,
Uranium,U,92,142,234,Alpha,7820928000000.0000000,
Polonium,Po,84,134,218,Alpha,186.0000000,
Plomb,Pb,82,132,214,Beta-,1613.0000000,
Bismuth,Bi,83,131,214,Beta-,1194.0000000,
Polonium,Po,84,130,214,Alpha,0.1640000,
Plomb,Pb,82,128,210,Beta-,700578720.0000000,
Bismuth,Bi,83,127,210,Beta-,433037.0000000,
Polonium,Po,84,126,210,Alpha,11955686.0000000,
Plomb,Pb,82,124,206,STABLE,0.0000000,
Thorium,Th,90,141,231,Beta-,91872.0000000,
Protactinium,Pa,91,140,231,Alpha,1033800000000.0000000,
Actinium,Ac,89,138,227,Beta-,687072067.2000000,
Thorium,Th,90,137,227,Alpha,1613952.0000000,
Radium,Ra,88,135,223,Alpha,950400.0000000,
Radon,Rn,86,133,219,Alpha,3.9600000,
Polonium,Po,84,131,215,Alpha,0.0017810,
Plomb,Pb,82,129,211,Beta-,2166.0000000,
Bismuth,Bi,83,128,211,Alpha,128.4000000,
Thalium,Tl,81,126,207,Beta-,286.2000000,
Plomb,Pb,82,125,207,STABLE,0.0000000,
Electron,E-,-1,-1,0,STABLE,0.0000000,
Neutron,N+,1,,0,STABLE,0.0000000,
Helium,He,2,2,4,STABLE,0.0000000,
